case,final_equity,ann_return,ann_vol,max_drawdown,sharpe,calmar,turnover,avg_exposure
breakout_20d,3.7888975064008843,0.06769178326631131,0.10518873296159686,-0.24368241330003693,0.6435269382988458,0.27778690447785814,153.0,0.6558048780487805
breakout_60d,4.828299350685207,0.08049474883605878,0.1109378687144417,-0.2302458397885644,0.7255840568134163,0.3496034886449085,47.0,0.7137560975609756
breakout_120d,5.279570261064956,0.08525226423310461,0.11443939931695696,-0.1937143284761259,0.7449555375328891,0.44009271231379987,19.0,0.7135609756097561
ma_10_200_band,5.945201433849905,0.09160706271761354,0.12027221408534212,-0.21533239560168083,0.761664391183582,0.42542164852457753,23.0,0.752390243902439
