case,final_equity,ann_return,ann_vol,max_drawdown,sharpe,calmar
trend,5.945201433849905,0.09160706271761354,0.12027221408534212,-0.21533239560168083,0.761664391183582,0.42542164852457753
breakout,4.828299350685207,0.08049474883605878,0.1109378687144417,-0.2302458397885644,0.7255840568134163,0.3496034886449085
mean_reversion,2.17731904363262,0.03900078455524958,0.14149737253829697,-0.3946969690007084,0.2756290371730671,0.09881196872119781
equal_strategy_combo,4.200138523210097,0.0731151543477031,0.10024884740600838,-0.20758684944612393,0.7293366082463405,0.35221476959059034
