case,final_equity,ann_return,ann_vol,max_drawdown,sharpe,calmar,turnover,avg_exposure
SPY trend only,5.945201433849905,0.09160706271761354,0.12027221408534212,-0.21533239560168083,0.761664391183582,0.42542164852457753,23.0,0.752390243902439
Equal active trend portfolio,4.720076981456766,0.07929103455854203,0.13669964056774137,-0.24363263863091233,0.5800383543748195,0.3254532520934636,107.86666666666667,0.9194146341463415
Equal-weight buy and hold,6.658386651979159,0.09770503622523807,0.1598913475648233,-0.4575120513885652,0.6110714414088381,0.21355729522031133,,
