case,final_equity,ann_return,ann_vol,max_drawdown,sharpe,calmar,turnover,avg_exposure
z_entry_0.75,2.5385754302207086,0.04687297801973389,0.14400790566234903,-0.3601146001514217,0.3254889223209422,0.1301612819919677,356.0,0.27707317073170734
z_entry_1.00,2.17731904363262,0.03900078455524958,0.14149737253829697,-0.3946969690007084,0.2756290371730671,0.09881196872119781,302.0,0.25697560975609757
z_entry_1.50,2.0850555015353076,0.03679106750108563,0.137470153172045,-0.360966530318243,0.2676294937639395,0.10192376414691164,234.0,0.22614634146341464
z_entry_2.00,2.1773312718462052,0.03900107147624676,0.13035971310975608,-0.3652691741865396,0.2991804027936905,0.10677350905151738,176.0,0.18497560975609756
